powertrain_type,region,year,veh_cost,fuel_cost,insurance_euro,mr_euro,quartile,km,value,TCO,TCO_percent
PHEV,western europe,2030,5379.892529643025,4.745589089181242,1740.9429916325544,1218.6600941427878,Q1,2500,35,3.3832541370591596,1.1841389479707058
PHEV,western europe,2030,5379.892529643025,4.745589089181242,1740.9429916325544,1218.6600941427878,Q2,10000,35,0.8814054524336492,0.3084919083517772
PHEV,western europe,2030,5379.892529643025,4.745589089181242,1740.9429916325544,1218.6600941427878,Q3,20000,20,0.4644306716627308,0.09288613433254617
PHEV,western europe,2030,5379.892529643025,4.745589089181242,1740.9429916325544,1218.6600941427878,Q4,40000,10,0.2559432812772716,0.025594328127727158
BEV,western europe,2030,4913.626331295198,2.6889582794001994,1868.9830674738103,1121.3898404842862,Q1,2500,35,3.1884892784953203,1.115971247473362
BEV,western europe,2030,4913.626331295198,2.6889582794001994,1868.9830674738103,1121.3898404842862,Q2,10000,35,0.8172895067193315,0.286051327351766
BEV,western europe,2030,4913.626331295198,2.6889582794001994,1868.9830674738103,1121.3898404842862,Q3,20000,20,0.42208954475666677,0.08441790895133336
BEV,western europe,2030,4913.626331295198,2.6889582794001994,1868.9830674738103,1121.3898404842862,Q4,40000,10,0.22448956377533438,0.02244895637753344
FCEV,western europe,2030,4488.631260767852,6.844162254347078,1658.8307221488053,1327.064577719044,Q1,2500,35,3.058252246797751,1.070388286379213
FCEV,western europe,2030,4488.631260767852,6.844162254347078,1658.8307221488053,1327.064577719044,Q2,10000,35,0.8158942786070408,0.2855629975124643
FCEV,western europe,2030,4488.631260767852,6.844162254347078,1658.8307221488053,1327.064577719044,Q3,20000,20,0.4421679505752558,0.08843359011505117
FCEV,western europe,2030,4488.631260767852,6.844162254347078,1658.8307221488053,1327.064577719044,Q4,40000,10,0.2553047865593633,0.025530478655936325
ICE-G,western europe,2031,4788.292043305061,9.022001209296015,1859.4,2169.3,Q1,2500,35,3.6170168294149843,1.2659558902952446
ICE-G,western europe,2031,4788.292043305061,9.022001209296015,1859.4,2169.3,Q2,10000,35,0.9719192164234662,0.34017172574821314
ICE-G,western europe,2031,4788.292043305061,9.022001209296015,1859.4,2169.3,Q3,20000,20,0.5310696142582132,0.10621392285164263
ICE-G,western europe,2031,4788.292043305061,9.022001209296015,1859.4,2169.3,Q4,40000,10,0.3106448131755867,0.03106448131755867
ICE-D,western europe,2031,4942.802919178087,8.04424577796772,1919.4,2239.3,Q1,2500,35,3.7210436254509127,1.3023652689078193
ICE-D,western europe,2031,4942.802919178087,8.04424577796772,1919.4,2239.3,Q2,10000,35,0.990592749697486,0.3467074623941201
ICE-D,western europe,2031,4942.802919178087,8.04424577796772,1919.4,2239.3,Q3,20000,20,0.5355176037385816,0.10710352074771631
ICE-D,western europe,2031,4942.802919178087,8.04424577796772,1919.4,2239.3,Q4,40000,10,0.3079800307591294,0.03079800307591294
CNG,western europe,2031,4712.9994526203645,5.567295512072469,1435.85,1723.02,Q1,2500,35,3.204420736168871,1.1215472576591048
CNG,western europe,2031,4712.9994526203645,5.567295512072469,1435.85,1723.02,Q2,10000,35,0.8428599003827613,0.29500096513396645
CNG,western europe,2031,4712.9994526203645,5.567295512072469,1435.85,1723.02,Q3,20000,20,0.44926642775174297,0.0898532855503486
